EVT EQUIP-ID,EVENT-ID,WCE,DDR,WCE NARRATIVE,CORRECTIVE ACTION
B1234,L691820558,3,2,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
C1234,L769470558,2,1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
C1234,L243600966,2,2,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
C1234,L305916390,3,1,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus
C1234,L784870106,2,2,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
B1234,L360602874,1,2,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
B1234,L080932433,3,2,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse
D1234,L366808512,1,2,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
C1234,L435491614,1,2,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
B1234,L911571114,1,1,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
D1234,L485014836,1,2,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,malesuada in imperdiet et commodo vulputate justo in blandit ultrices
B1234,L118331821,1,2,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
D1234,L305400641,3,2,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
A1234,L007505545,2,2,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
B1234,L577522216,2,1,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor
B1234,L464721084,1,2,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
A1234,L186970551,2,1,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
B1234,L084354862,1,2,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu
A1234,L730215938,1,2,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut
A1234,L283337648,2,2,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
C1234,L697378415,3,1,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
A1234,L201741433,1,1,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
A1234,L824741140,3,2,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
B1234,L526606887,2,2,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
D1234,L206825369,1,2,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
B1234,L394257090,1,1,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
C1234,L795956238,2,2,blandit non interdum in ante vestibulum ante ipsum primis in,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
D1234,L590383542,1,2,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
A1234,L678543387,1,1,lobortis est phasellus sit amet erat nulla tempus vivamus in felis,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
C1234,L368480009,3,2,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis
B1234,L904490936,1,2,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,at nibh in hac habitasse platea dictumst aliquam augue quam
B1234,L436954985,2,1,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
A1234,L637297587,2,1,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
D1234,L163356097,3,1,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
A1234,L470613213,3,2,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
A1234,L023950497,3,2,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
B1234,L249610320,2,1,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
D1234,L899833411,3,2,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
B1234,L976028670,1,2,blandit nam nulla integer pede justo lacinia eget tincidunt eget,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
A1234,L459448836,2,1,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
B1234,L944346138,1,2,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
A1234,L878969344,2,1,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
C1234,L821446422,2,1,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
D1234,L900425390,1,1,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
A1234,L670175528,2,2,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
B1234,L574917874,2,1,varius ut blandit non interdum in ante vestibulum ante ipsum primis in,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
A1234,L544904590,2,1,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
B1234,L592993863,1,2,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
A1234,L373905949,1,2,sollicitudin ut suscipit a feugiat et eros vestibulum ac est,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
B1234,L710543120,1,1,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
B1234,L475728847,2,2,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
A1234,L795015826,2,1,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
A1234,L424872053,2,2,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
D1234,L593403211,3,2,rutrum rutrum neque aenean auctor gravida sem praesent id massa id,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
A1234,L801677542,2,1,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
B1234,L554918948,3,2,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque
B1234,L626135418,2,2,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id
C1234,L096584405,1,2,amet cursus id turpis integer aliquet massa id lobortis convallis tortor,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
B1234,L745923230,2,2,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
B1234,L301866826,3,2,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,at velit vivamus vel nulla eget eros elementum pellentesque quisque
C1234,L791022338,3,1,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
D1234,L304925406,3,2,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
B1234,L454627386,3,1,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
A1234,L319568099,3,2,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
D1234,L940785658,3,1,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
C1234,L304972515,1,1,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
C1234,L831126841,3,1,porta volutpat quam pede lobortis ligula sit amet eleifend pede,id mauris vulputate elementum nullam varius nulla facilisi cras non velit
A1234,L941599452,1,2,primis in faucibus orci luctus et ultrices posuere cubilia curae,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
A1234,L903469164,3,1,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
B1234,L539758435,1,1,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
B1234,L177336577,1,2,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor
C1234,L193768101,3,2,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
A1234,L976320318,2,2,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
D1234,L796681975,1,1,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
C1234,L097262592,3,1,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
D1234,L105968244,1,1,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
C1234,L943447743,3,1,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
C1234,L532461958,3,2,porttitor id consequat in consequat ut nulla sed accumsan felis,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
D1234,L504131127,3,2,blandit non interdum in ante vestibulum ante ipsum primis in,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
C1234,L189903898,3,1,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
C1234,L615401429,2,2,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
B1234,L819074759,2,2,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
C1234,L741168849,3,2,pede ac diam cras pellentesque volutpat dui maecenas tristique est,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
B1234,L375350689,1,1,quisque porta volutpat erat quisque erat eros viverra eget congue eget,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
B1234,L382263929,2,2,sapien sapien non mi integer ac neque duis bibendum morbi non,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
D1234,L210453285,1,2,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
D1234,L236739608,2,2,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
A1234,L912460259,3,1,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
A1234,L438248723,1,2,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
A1234,L816954542,1,2,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
B1234,L715828400,2,2,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
A1234,L680670864,2,1,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
C1234,L518032862,1,2,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
D1234,L792108229,2,2,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
B1234,L819043906,2,1,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum
C1234,L938450574,1,2,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
C1234,L342820189,3,1,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
B1234,L901280914,3,2,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
B1234,L740819583,2,1,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
D1234,L329043446,1,2,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
C1234,L758261496,2,1,nisi at nibh in hac habitasse platea dictumst aliquam augue quam,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
C1234,L863579805,1,2,pretium quis lectus suspendisse potenti in eleifend quam a odio,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
C1234,L518552461,2,1,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
D1234,L191449874,3,2,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,ut blandit non interdum in ante vestibulum ante ipsum primis
A1234,L079420920,3,1,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
A1234,L822440775,1,1,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet
C1234,L961932123,3,2,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
C1234,L479745047,1,2,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
C1234,L706681259,3,1,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
D1234,L336194838,2,1,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
C1234,L942390811,3,1,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
B1234,L345626596,3,1,vel nulla eget eros elementum pellentesque quisque porta volutpat erat,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
A1234,L949906053,2,1,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
A1234,L073218697,2,2,ac est lacinia nisi venenatis tristique fusce congue diam id,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
C1234,L492869629,2,1,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
C1234,L506048696,3,1,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
C1234,L236178879,1,1,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
